content,sentiment
valholla thats sad kind mess getting weekend,0
way get crate bella dolce sad cuz livingdeaderin going tto richmond,0
starting internship today pretty excited,1
vileness hilarious imagine reactions,1
school going absolutely horrible today peace,0
girlfromthemoon yay moment today yay hope,1
ben amp jerrys fail got email free ice cream says click redeem coupon click get error message cherrygarcia,0
saw trailer batman arkham asylum play joker thats ps exclusive damn hurt,0
cant find red lighter reminds amy,0
haha bet man make heels im sorry hurt though hope feel better livelovesing,0
feeling like romeo juliet bryant wallinwood montagues capulets fb,1
thehebrican trade weather gloomy today la,0
oh god feel like shit,0
miss,0
btocher httpbitlytvers ever night didnt meet ended possibly best pizza side chicago,1
really want see one wants go,0
bogwhoppit aw yes weeks got asked return end wish bought never mind,0
dailypep im sure cry unopportunte spelling moment,0
ramesrock rompes mis ilusiones con lo de thrasher haha,1
afiaaafaya thehandsomebluebeast hhihihuahauu,1
gutted invited bbq tomorrow night gonna miss bgt final wonder wheel tv outside,0
im depressed pretty day everyone either something cantbleh,0
finished filming day another fun day set hahaha,1
might go back much earlier expected bye bye bay area,0
argh,0
oops forgot shave legs byebye favorite cousin bklyn two nights row go hardd,1
malcolmmillion nah understand cant cancel wanted come,0
brighternoise really,0
lisibo ooohhhhh sorry sad never noticed dollar signs oxteach,0
work,0
veropperez great ive gpt tp put lyrics finsih background go writing done,1
kristie going try warm milk im lactose intolerant haha,0
keithjoforever angry keith whats,0
draining iphone battery half day without making single call sucks months old huge fail apples part,0
hunabku swine flu victims unite httpoinkfluinfo,1
im surrounded negativity good thing fly guy give hope something better thank u jesus,0
well thats last fabs gone,0
morgret probably kinda expensive work people weekends work,0
feel depressed couldnt save thanks nothing,1
love jonas brothers trending topics maybe taylors turn next,1
letting anyone get tired taking peoples pain time happy person without drama om,1
jesusfreak probably sucks,0
atallblonde hello thanks follow,1
bevjack babes sooo much fun thank much making happen fun ladies time went fast,1
pappadeux yummy strawberry lemonade,0
feel like im going toss cookies,0
cant believe er,0
aww poor tank friend guild fucking promising main ot barely even gets go,0
time kathleen go bed waaaaay past time dont expect hear noon lol blessed morning,1
catrionat yes yes ima guna lol,1
damn stephane doesnt even feel sorry work,0
suzimeow yeah u better,0
brother wandering around house underwear charming sisters female guests im sure,0
gowalla added spots memphis today visited needed hot dog icon new restaurant settle hamburger,1
great night justine boys westconn people met tonight haha,1
jenhp bummer couldnt get book signed sigh,0
friends im deeply sorry im moving miss u much,1
fab day placement working weekend,0
japanese exchange student cutest thing ive ever seen seriously haha want put pocketampkeep,0
gah buddy k must hang person right miss along parker mcphee,0
hotmusicnews thanks,1
themakelounge fair want sticker moved away london,0
concisekilgore morning love breakfast wasnt stuck shop right getting maintenance done ride,1
jessner suck majorly im swampedso twitteri dont knowbut still golf tournament,0
